lastname,firstname,title,year,volume,ID,decade
Kopisch,August,Ein Carnevalsfest auf Ischia,1856,,August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856),1850
Hartmann,Moritz,Der Krieg um den Wald,1850,1,Moritz_Hartmann_-_Der_Krieg_um_den_Wald_-_1_(1850),1850
Willkomm,Ernst,Erzählungen eines Wattenschiffers,1854,,Ernst_Willkomm_-_Erzählungen_eines_Wattenschiffers_(1854),1850
Gerstäcker,Friedrich,Herrn Mahlhuber's Reiseabenteuer,1857,,Friedrich_Gerstäcker_-_Herrn_Mahlhuber's_Reiseabenteuer_(1857),1850
Gerstäcker,Friedrich,Das alte Haus,1857,,Friedrich_Gerstäcker_-_Das_alte_Haus_(1857),1850
Schücking,Levin,Die Marketenderin von Köln,1861,,Levin_Schücking_-_Die_Marketenderin_von_Köln_(1861),1860
Reuter,Fritz,Montecchi un Capuletti oder De Reis' nah Konstantinopel,1868,,Fritz_Reuter_-_Montecchi_un_Capuletti_oder_De_Reis'_nah_Konstantinopel_(1868),1860
Hebbel,Friedrich,Eine Nacht im Jägerhause,1863,,Friedrich_Hebbel_-_Eine_Nacht_im_Jägerhause_(1863),1860
Spielhagen,Friedrich,Die Dorfcoquette,1868,,Friedrich_Spielhagen_-_Die_Dorfcoquette_(1868),1860
Auerbach,Berthold,Auf der Höhe Band I,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Band_I_(1865),1860
Pocci,Franz,Lustiges Komödienbüchlein,1861,,Franz_Pocci_-_Lustiges_Komödienbüchlein_(1861),1860
Gerstäcker,Friedrich,Alle jagen John Mulligan,1860,,Friedrich_Gerstäcker_-_Alle_jagen_John_Mulligan_(1860),1860
Storm,Theodor,In St Jürgen,1867,,Theodor_Storm_-_In_St_Jürgen_(1867),1860
Reuter,Fritz,Dörchläuchting,1866,,Fritz_Reuter_-_Dörchläuchting_(1866),1860
Marlitt,Eugenie,Thüringer Erzählungen,1869,,Eugenie_Marlitt_-_Thüringer_Erzählungen_(1869),1860
